Nombre,Mazo
Edwin Barrera,Dragapult Charizard
Guillermo Villicaña Santillan,Raging Bolt Ogerpon
Rafael Aldair Zepeda Rodriguez,Snorlax Stall
Ricardo Ramírez Villagran,Gardevoir
Raúl González Sandoval,Gardevoir
Alberto Meza,Archaludon Dialga
Javier Andrés Gongora Ojeda,Dragapult Dusknoir
Emiliano Huang,Palkia Dusknoir
Jesus Vazquez,Raging Bolt Ogerpon
Yasser Moreno,Miraidon
Carlos Emilio Sanchez Zilli,Lugia Archeops
Franco De Crescenzo,Miraidon
Jose Juarez Gonzalez,Dragapult Dusknoir
Ever Gamboa Silveira,Dragapult Dusknoir
Jason Burch,Miraidon
Jonhathan Vazquez,Gardevoir
Brandon Vera,Miraidon
Roberto Concepcion Parra Rodriguez,Gardevoir
Gerardo Morales,Gardevoir
Jesús Felipe Cepeda Noriega,Gardevoir
Josue Rodrigo Ramos Hernández,Charizard Pidgeot
Arturo Ortega,Terapagos Sylveon
Gilberto De Luna,Klawf Terapagos
Daniel Alberto Pintado Mejia,Dragapult Dusknoir
Rafael Jerónimo Chávez,Dragapult Dusknoir
Carlos Irigoyen,Lugia Archeops
Gustavo Canto,Lugia Archeops
Luismi Alcocer,Miraidon
Benjamin Ruiz,Dragapult Dusknoir
Elaine Zapata,Dragapult Charizard
